Name,SailRanksID,Lowest,Highest,PastMonthHigh,PastMonthLow,Current
Jerseytbw,5835,1500.0,1582.23,1582.23,1500.0,1567.28
MudCreek,6785,1411.53,1500.0,1500.0,1411.53,1411.53
Endourx,2808,1415.12,1508.0,1508.0,1415.12,1443.37
Jakob,6504,1500.0,1541.74,1541.74,1500.0,1504.04
Geobro,6743,1458.26,1582.07,1582.07,1458.26,1582.07
Booshify,3794,1492.0,1579.62,1579.62,1492.0,1538.57
Willman,2749,1500.0,1617.32,1617.32,1500.0,1593.93
Corner,6866,1395.49,1500.0,1500.0,1395.49,1395.49
Liam Dimock,2276,1464.01,1487.85,1487.85,1464.01,1477.02
UWE,7013,1473.73,1489.0,1489.0,1473.73,1486.7
