MatchID,Event,Date,SailorA_ID,SailorB_ID,Winner_ID,RatingA_Pre,RatingB_Pre,ExpectedA,ExpectedB,RatingA_Post,RatingB_Post
M00014,Play eSailing,2026-06-09,2808,3794,2808,1500.0,1500.0,0.5,0.5,1508.0,1492.0
M00015,Play eSailing,2026-06-09,2808,3794,3794,1508.0,1492.0,0.523,0.477,1502.77,1497.23
M00016,Play eSailing,2026-06-09,2808,3794,3794,1502.77,1497.23,0.508,0.492,1497.69,1502.31
M00017,Play eSailing,2026-06-09,6866,5835,5835,1500.0,1500.0,0.5,0.5,1492.0,1508.0
M00018,Play eSailing,2026-06-09,6866,5835,5835,1492.0,1508.0,0.477,0.523,1487.23,1512.77
M00019,Play eSailing,2026-06-09,6785,6504,6504,1500.0,1500.0,0.5,0.5,1484.0,1516.0
M00020,Play eSailing,2026-06-09,6785,6504,6504,1484.0,1516.0,0.4232,0.5768,1470.26,1529.74
M00021,Play eSailing,2026-06-09,6743,2749,2749,1500.0,1500.0,0.5,0.5,1484.0,1516.0
M00022,Play eSailing,2026-06-09,6743,2749,2749,1484.0,1516.0,0.4232,0.5768,1470.26,1529.74
M00023,Play eSailing,2026-06-09,6504,6743,6504,1529.74,1470.26,0.5768,0.4232,1541.74,1458.26
M00024,Play eSailing,2026-06-09,6504,6743,6504,1541.74,1458.26,0.6071,0.3929,1549.52,1450.48
M00025,Play eSailing,2026-06-09,5835,6785,5835,1512.77,1470.26,0.5596,0.4404,1521.82,1461.21
M00026,Play eSailing,2026-06-09,5835,6785,5835,1521.82,1461.21,0.5842,0.4158,1529.83,1453.2
M00027,Play eSailing,2026-06-09,3794,6866,3794,1502.31,1487.23,0.5217,0.4783,1512.52,1477.02
M00028,Play eSailing,2026-06-09,3794,6866,3794,1512.52,1477.02,0.5473,0.4527,1521.15,1468.39
M00029,Play eSailing,2026-06-09,2808,2749,2749,1497.69,1529.74,0.4547,0.5453,1487.77,1539.66
M00030,Play eSailing,2026-06-09,2808,2749,2749,1487.77,1539.66,0.4284,0.5716,1478.7,1548.73
M00031,Play eSailing,2026-06-09,6785,6866,6785,1453.2,1468.39,0.4787,0.5213,1462.53,1459.06
M00032,Play eSailing,2026-06-09,6785,6866,6785,1462.53,1459.06,0.5025,0.4975,1472.56,1449.03
M00033,Play eSailing,2026-06-09,6743,2808,6743,1450.48,1478.7,0.4602,0.5398,1460.67,1468.51
M00034,Play eSailing,2026-06-09,6743,2808,6743,1460.67,1468.51,0.4822,0.5178,1470.61,1458.57
M00035,Play eSailing,2026-06-09,6504,3794,3794,1549.52,1521.15,0.5398,0.4602,1538.26,1532.41
M00036,Play eSailing,2026-06-09,6504,3794,3794,1538.26,1532.41,0.5085,0.4915,1527.82,1542.85
M00037,Play eSailing,2026-06-09,5835,2749,5835,1529.83,1548.73,0.4728,0.5272,1539.41,1539.15
M00038,Play eSailing,2026-06-09,5835,2749,2749,1539.41,1539.15,0.5004,0.4996,1529.18,1549.38
M00039,Play eSailing,2026-06-09,5835,2749,2749,1529.18,1549.38,0.4716,0.5284,1519.54,1559.22
M00018,Match Race Test Event,2026-03-16,3794,5835,3794,1541.49,1520.59,0.53,0.47,1550.89,1511.19
